2458928.3333	8.6
2458928.3715	9.1
2458928.4104	8.6
2458928.6681	8.4
2458929.2569	8.9
2458929.3208	8.5
2458929.3639	9
2458929.4583	8.1
2458929.5417	7.5
2458930.2708	8.5
2458930.3000	8.1
2458930.3028	8.4
2458930.3130	8.7
2458930.3958	8.1
2458930.4000	8.6
2458930.4361	8.1
2458930.4424	8.65
2458930.5535	8.55
2458930.6000	8.4
2458930.8333	8.8
2458930.8382	8.4
2458931.2700	8.3
2458931.2951	8
2458931.3069	8.3
2458931.3160	8
2458931.3170	8.1
2458931.3300	8
2458931.3333	7.9
2458931.3500	8.6
2458931.3540	8.7
2458931.4458	8.4
2458931.4600	8.3
2458931.4792	8.2
2458931.5222	8.8
2458932.3000	8.1
2458932.3139	8
2458932.3403	8.2
2458932.3444	8.3
2458932.4292	8.4
2458932.4479	8.7
2458932.6000	8.6
2458932.9715	8.2
2458933.3250	7.9
2458933.3300	8
2458933.3785	8.3
2458933.3950	8.5
2458933.4472	8.5
2458933.5660	8.5
2458933.6563	8.8
2458934.3146	7.9
2458934.3299	8.4
2458934.3470	8.6
2458934.3900	7.9
2458934.4007	8.3
2458934.4375	8.6
2458934.5472	8.5
2458934.5625	7.5
2458934.5792	8.5
2458935.2813	8.5
2458935.3000	8.4
2458935.3090	8.7
2458935.3300	9.2
2458935.3903	8.97
2458935.4000	7.9
2458935.4215	8.2
2458935.4300	8.4
2458935.4493	8.8
2458935.5521	8.6
2458936.2382	8.6
2458936.2720	8.7
2458936.2785	8.4
2458936.2806	8.4
2458936.2917	8.9
2458936.3000	8.5
2458936.3100	8.6
2458936.3118	7.9
2458936.3229	8.5
2458936.3472	8.6
2458936.3540	8.7
2458936.3700	8.5
2458936.3800	8
2458936.4167	7.9
2458936.4480	8.8
2458936.5493	8.5
2458936.5680	8.7
2458936.5833	8.8
2458936.5903	8.7
2458936.6000	8.7
2458936.6000	8.6
2458936.6444	8.7
2458937.3271	8.8
2458937.3319	7.9
2458937.4000	8.2
2458937.4167	8.4
2458937.5528	8.6
2458938.3000	8.5
2458938.4444	8.85
2458938.5104	8.5
2458938.5799	8.6
2458938.9972	8.6
