2460455.39389	4.011	0.012	KALF	G
2460461.6874	4.044	0.021	PGD	G
2460466.3784	4.02	0.009	KALF	G
2460469.35523	4.028	0.01	KALF	G
2460472.36982	4.056	0.014	KALF	G
2460505.7146	4.144	0.006	PGD	G
2460508.65	4.15	0.001	KPL	G
2460528.7013	3.975	0.009	PGD	G
2460530.6292	3.952	0.001	KPL	G
2460532.6739	3.948	0.004	PGD	G
2460544.6573	3.974	0.002	PGD	G
2460554.6764	4.077	0.002	PGD	G
2460558.6538	4.121	0.003	PGD	G
2460562.6501	4.145	0.006	PGD	G
2460566.6412	4.153	0.004	PGD	G
2460575.6303	4.145	0.005	PGD	G
2460580.6101	4.125	0.001	PGD	G
2460587.6087	4.043	0.003	PGD	G
2460591.6066	4.048	0.003	PGD	G
2460598.5949	4.177	0.003	PGD	G
2460605.5952	4.185	0.004	PGD	G
2460607.62203	4.305	0.06	FJAG	G
2460608.5878	4.295	0.065	FJAG	G
2460609.5941	4.121	0.003	PGD	G
2460611.66664	4.099	0.061	FJAG	G
2460612.61854	4.144	0.062	FJAG	G
2460620.572	3.928	0.007	PGD	G
2460629.5699	3.974	0.001	PGD	G
2460634.5672	4.053	0.007	PGD	G
2460637.5743	4.117	0.007	PGD	G
2460645.5698	4.287	0.005	PGD	G
2460646.55497	4.302	0.06	FJAG	G
2460653.574	4.246	0.01	PGD	G
